dia,hora,datetime_completo,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions,icon,source
2023-09-01,00:00:00,2023-09-01 00:00:00,1693537200,13.1,13.1,28.12,-5.0,0.0,0.0,0.0,0.0,,24.8,9.4,200.0,1011.4,12.8,30.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-01,01:00:00,2023-09-01 01:00:00,1693540800,12.8,12.8,29.17,-4.8,0.0,0.0,0.0,0.0,,25.9,0.1,355.0,1011.2,12.8,10.9,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-01,02:00:00,2023-09-01 02:00:00,1693544400,11.1,11.1,36.85,-3.1,0.0,0.0,0.0,0.0,,22.7,3.6,250.0,1010.7,12.8,10.6,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-01,03:00:00,2023-09-01 03:00:00,1693548000,9.6,8.0,44.34,-2.0,0.0,0.0,0.0,0.0,,16.6,10.8,232.0,1010.4,14.9,10.0,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-01,04:00:00,2023-09-01 04:00:00,1693551600,10.8,10.8,38.29,-2.9,0.0,0.0,0.0,0.0,,13.3,3.8,250.0,1009.6,12.8,9.7,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-01,05:00:00,2023-09-01 05:00:00,1693555200,9.2,9.2,44.89,-2.2,0.0,0.0,0.0,0.0,,13.3,3.7,269.0,1008.5,12.8,10.0,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-01,06:00:00,2023-09-01 06:00:00,1693558800,8.2,7.6,48.08,-2.2,0.0,0.0,0.0,0.0,,14.4,5.3,230.0,1007.9,10.1,39.7,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-01,07:00:00,2023-09-01 07:00:00,1693562400,8.6,7.1,46.92,-2.2,0.0,0.0,0.0,0.0,,14.4,9.3,229.0,1008.6,14.9,30.2,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-01,08:00:00,2023-09-01 08:00:00,1693566000,8.8,7.4,43.5,-2.9,0.0,0.0,0.0,0.0,,14.0,9.1,232.0,1008.8,14.9,30.2,0.1,0.0,0.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,09:00:00,2023-09-01 09:00:00,1693569600,11.0,11.0,42.12,-1.4,0.0,0.0,0.0,0.0,,17.3,7.5,230.0,1008.9,14.9,60.3,72.8,0.3,1.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,10:00:00,2023-09-01 10:00:00,1693573200,17.3,17.3,33.27,1.0,0.0,0.0,0.0,0.0,,20.5,0.2,142.0,1009.3,14.9,60.3,251.4,0.9,3.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,11:00:00,2023-09-01 11:00:00,1693576800,20.1,20.1,27.96,1.0,0.0,0.0,0.0,0.0,,22.0,0.3,142.0,1009.1,14.9,50.1,462.0,1.7,5.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,12:00:00,2023-09-01 12:00:00,1693580400,20.0,20.0,20.66,-3.2,0.0,0.0,0.0,0.0,,21.6,7.6,120.0,1008.1,10.0,80.0,621.5,2.2,6.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,13:00:00,2023-09-01 13:00:00,1693584000,21.1,21.1,25.87,0.8,0.0,0.0,0.0,0.0,,21.6,7.6,90.0,1008.0,14.9,89.8,700.3,2.5,7.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,14:00:00,2023-09-01 14:00:00,1693587600,21.6,21.6,27.67,2.2,0.0,0.0,0.0,0.0,,20.9,9.4,274.0,1007.0,14.9,99.8,740.3,2.7,7.0,Overcast,cloudy,obs
2023-09-01,15:00:00,2023-09-01 15:00:00,1693591200,22.6,22.6,26.74,2.5,0.0,0.0,0.0,0.0,,20.5,7.5,89.0,1005.3,14.9,80.2,711.8,2.6,7.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,16:00:00,2023-09-01 16:00:00,1693594800,23.1,23.1,26.26,2.7,0.0,0.0,0.0,0.0,,18.7,0.1,120.0,1005.0,14.9,60.5,641.3,2.3,6.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,17:00:00,2023-09-01 17:00:00,1693598400,23.2,23.2,27.17,3.2,0.0,0.0,0.0,0.0,,18.0,5.3,90.0,1005.0,14.9,90.0,486.2,1.8,5.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,18:00:00,2023-09-01 18:00:00,1693602000,23.0,23.0,18.83,-2.0,0.0,0.0,0.0,0.0,,16.6,7.6,90.0,1004.4,12.8,80.0,309.1,1.1,3.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,19:00:00,2023-09-01 19:00:00,1693605600,19.9,19.9,36.33,4.5,0.0,0.0,0.0,0.0,,15.5,0.1,208.9,1005.2,14.9,80.0,107.6,0.4,1.0,Partially cloudy,partly-cloudy-day,obs
2023-09-01,20:00:00,2023-09-01 20:00:00,1693609200,16.2,16.2,38.88,2.1,0.0,0.0,0.0,0.0,,13.3,5.3,236.0,1006.4,14.9,60.3,2.5,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-01,21:00:00,2023-09-01 21:00:00,1693612800,15.7,15.7,39.86,2.1,0.0,0.0,0.0,0.0,,14.8,9.3,230.0,1007.6,14.9,60.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-01,22:00:00,2023-09-01 22:00:00,1693616400,14.7,14.7,42.47,2.1,0.0,0.0,0.0,0.0,,16.9,0.2,230.0,1008.0,14.9,79.7,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-01,23:00:00,2023-09-01 23:00:00,1693620000,14.7,14.7,40.88,1.6,0.0,0.0,0.0,0.0,,19.8,9.3,249.0,1008.1,14.9,80.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,00:00:00,2023-09-02 00:00:00,1693623600,17.0,17.0,25.68,-2.8,0.0,0.0,0.0,0.0,,22.0,11.8,180.0,1008.8,12.8,79.1,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,01:00:00,2023-09-02 01:00:00,1693627200,16.3,16.3,27.97,-2.3,0.0,0.0,0.0,0.0,,24.8,16.1,180.0,1009.7,12.8,80.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,02:00:00,2023-09-02 02:00:00,1693630800,18.1,18.1,27.31,-1.0,0.0,0.0,0.0,0.0,,33.1,18.3,179.0,1009.6,12.8,77.7,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,03:00:00,2023-09-02 03:00:00,1693634400,16.9,16.9,31.45,-0.2,0.0,0.0,0.0,0.0,,46.4,18.5,141.0,1010.7,14.9,89.7,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,04:00:00,2023-09-02 04:00:00,1693638000,16.8,16.8,21.73,-5.2,0.0,0.0,0.0,0.0,,46.4,27.5,179.0,1011.6,12.8,77.9,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,05:00:00,2023-09-02 05:00:00,1693641600,16.1,16.1,20.97,-6.2,0.0,0.0,0.0,0.0,,46.4,27.5,179.0,1011.8,12.8,77.9,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,06:00:00,2023-09-02 06:00:00,1693645200,14.2,14.2,26.29,-4.9,0.0,0.0,0.0,0.0,,43.2,24.5,179.0,1012.6,12.8,90.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,07:00:00,2023-09-02 07:00:00,1693648800,11.9,11.9,38.57,-1.8,0.0,0.0,0.0,0.0,,38.5,11.6,161.0,1013.2,14.9,90.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,08:00:00,2023-09-02 08:00:00,1693652400,11.7,11.7,37.12,-2.5,0.0,0.0,0.0,0.0,,36.4,14.9,161.0,1014.2,14.9,89.5,0.1,0.0,0.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,09:00:00,2023-09-02 09:00:00,1693656000,11.4,11.4,39.31,-2.0,0.0,0.0,0.0,0.0,,34.9,13.0,180.0,1014.3,14.9,80.2,57.6,0.2,1.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,10:00:00,2023-09-02 10:00:00,1693659600,13.4,13.4,30.18,-3.8,0.0,0.0,0.0,0.0,,37.4,13.2,180.0,1015.1,14.9,90.0,143.0,0.5,1.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,11:00:00,2023-09-02 11:00:00,1693663200,14.1,14.1,28.24,-4.0,0.0,0.0,0.0,0.0,,37.8,15.0,141.0,1015.2,14.9,80.2,289.8,1.0,3.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,12:00:00,2023-09-02 12:00:00,1693666800,14.9,14.9,22.95,-6.1,0.0,0.0,0.0,0.0,,37.8,20.5,160.0,1015.1,12.8,80.0,510.9,1.8,5.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,13:00:00,2023-09-02 13:00:00,1693670400,16.2,16.2,29.34,-1.8,0.0,0.0,0.0,0.0,,35.3,9.7,93.0,1013.5,14.9,60.0,706.5,2.5,7.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,14:00:00,2023-09-02 14:00:00,1693674000,16.3,16.3,28.89,-1.8,0.0,0.0,0.0,0.0,,32.8,11.4,121.0,1012.2,14.9,50.2,771.7,2.8,8.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,15:00:00,2023-09-02 15:00:00,1693677600,17.1,17.1,26.15,-2.5,0.0,0.0,0.0,0.0,,31.7,13.2,178.0,1011.1,14.9,40.2,757.3,2.7,8.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,16:00:00,2023-09-02 16:00:00,1693681200,15.3,15.3,28.19,-3.0,0.0,0.0,0.0,0.0,,27.7,8.0,91.0,1010.4,14.9,60.3,571.4,2.1,6.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,17:00:00,2023-09-02 17:00:00,1693684800,13.9,13.9,32.6,-2.3,0.0,0.0,0.0,0.0,,26.3,5.7,91.0,1010.4,14.9,80.0,400.7,1.4,4.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,18:00:00,2023-09-02 18:00:00,1693688400,14.1,14.1,21.43,-7.7,0.0,0.0,0.0,0.0,,24.1,16.4,111.0,1010.7,12.8,79.4,246.5,0.9,2.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,19:00:00,2023-09-02 19:00:00,1693692000,12.1,12.1,35.92,-2.6,0.0,0.0,0.0,0.0,,23.0,7.7,91.0,1011.6,14.9,80.0,86.5,0.3,1.0,Partially cloudy,partly-cloudy-day,obs
2023-09-02,20:00:00,2023-09-02 20:00:00,1693695600,11.2,11.2,40.5,-1.8,0.0,0.0,0.0,0.0,,20.9,5.5,111.0,1011.9,14.9,60.3,2.4,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,21:00:00,2023-09-02 21:00:00,1693699200,10.9,10.9,35.25,-3.9,0.0,0.0,0.0,0.0,,18.0,7.5,111.0,1013.7,14.9,99.7,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-02,22:00:00,2023-09-02 22:00:00,1693702800,9.7,9.7,45.27,-1.6,0.0,0.0,0.0,0.0,,16.2,0.3,140.0,1013.9,14.9,89.8,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-02,23:00:00,2023-09-02 23:00:00,1693706400,9.4,8.9,42.13,-2.8,0.0,0.0,0.0,0.0,,15.8,5.5,141.0,1014.0,14.9,80.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,00:00:00,2023-09-03 00:00:00,1693710000,10.2,10.2,49.58,0.1,0.0,0.0,0.0,0.0,,16.6,11.0,160.0,1014.0,12.8,80.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,01:00:00,2023-09-03 01:00:00,1693713600,9.8,7.7,49.89,-0.2,0.0,0.0,0.0,0.0,,16.2,14.5,140.0,1014.0,12.8,80.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,02:00:00,2023-09-03 02:00:00,1693717200,8.2,7.6,39.39,-4.8,0.0,0.0,0.0,0.0,,10.4,5.3,160.0,1014.1,12.8,60.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,03:00:00,2023-09-03 03:00:00,1693720800,5.2,2.7,44.56,-5.9,0.0,0.0,0.0,0.0,,10.8,10.9,230.0,1013.9,14.9,60.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,04:00:00,2023-09-03 04:00:00,1693724400,6.1,5.2,48.05,-4.1,0.0,0.0,0.0,0.0,,14.4,5.3,230.0,1013.2,12.8,58.5,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,05:00:00,2023-09-03 05:00:00,1693728000,6.9,5.1,39.14,-6.1,0.0,0.0,0.0,0.0,,16.9,9.2,200.0,1013.0,12.8,58.5,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,06:00:00,2023-09-03 06:00:00,1693731600,6.1,5.2,42.31,-5.8,0.0,0.0,0.0,0.0,,18.0,5.3,270.0,1013.1,12.8,39.1,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,07:00:00,2023-09-03 07:00:00,1693735200,4.4,1.7,47.17,-5.9,0.0,0.0,0.0,0.0,,17.3,11.2,197.0,1013.5,14.9,40.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-03,08:00:00,2023-09-03 08:00:00,1693738800,4.8,4.8,46.69,-5.6,0.0,0.0,0.0,0.0,,15.8,0.0,0.0,1014.4,14.9,10.0,0.4,0.0,0.0,Clear,clear-day,obs
2023-09-03,09:00:00,2023-09-03 09:00:00,1693742400,5.3,5.3,52.17,-3.7,0.0,0.0,0.0,0.0,,19.8,0.1,230.0,1014.7,14.9,10.0,95.0,0.3,1.0,Clear,clear-day,obs
2023-09-03,10:00:00,2023-09-03 10:00:00,1693746000,10.3,10.3,40.94,-2.4,0.0,0.0,0.0,0.0,,23.8,7.4,20.0,1014.6,14.9,10.0,305.1,1.1,3.0,Clear,clear-day,obs
2023-09-03,11:00:00,2023-09-03 11:00:00,1693749600,12.6,12.6,33.72,-3.0,0.0,0.0,0.0,0.0,,25.6,5.4,360.0,1014.9,14.9,10.0,501.2,1.8,5.0,Clear,clear-day,obs
2023-09-03,12:00:00,2023-09-03 12:00:00,1693753200,13.8,13.8,21.41,-7.9,0.0,0.0,0.0,0.0,,24.5,5.4,167.4,1014.0,12.8,10.0,664.8,2.4,7.0,Clear,clear-day,obs
2023-09-03,13:00:00,2023-09-03 13:00:00,1693756800,15.1,15.1,28.9,-2.8,0.0,0.0,0.0,0.0,,22.0,7.6,50.0,1013.7,14.9,10.6,761.8,2.7,8.0,Clear,clear-day,obs
2023-09-03,14:00:00,2023-09-03 14:00:00,1693760400,17.1,17.1,27.22,-1.9,0.0,0.0,0.0,0.0,,21.2,7.6,20.0,1013.0,15.0,10.9,786.2,2.8,8.0,Clear,clear-day,obs
2023-09-03,15:00:00,2023-09-03 15:00:00,1693764000,18.8,18.8,27.65,-0.3,0.0,0.0,0.0,0.0,,22.0,9.5,50.0,1012.0,14.9,11.0,747.6,2.7,7.0,Clear,clear-day,obs
2023-09-03,16:00:00,2023-09-03 16:00:00,1693767600,19.0,19.0,29.48,0.8,0.0,0.0,0.0,0.0,,23.0,7.8,91.0,1011.8,14.9,9.7,642.8,2.3,6.0,Clear,clear-day,obs
2023-09-03,17:00:00,2023-09-03 17:00:00,1693771200,18.7,18.7,33.09,2.1,0.0,0.0,0.0,0.0,,22.7,9.5,52.0,1011.7,14.9,9.7,521.3,1.9,5.0,Clear,clear-day,obs
2023-09-03,18:00:00,2023-09-03 18:00:00,1693774800,18.1,18.1,33.47,1.7,0.0,0.0,0.0,0.0,,21.6,13.0,90.0,1012.1,12.8,10.0,330.4,1.2,3.0,Clear,clear-day,obs
2023-09-03,19:00:00,2023-09-03 19:00:00,1693778400,16.1,16.1,47.05,4.8,0.0,0.0,0.0,0.0,,18.7,5.6,71.0,1013.2,14.9,9.7,123.8,0.4,1.0,Clear,clear-day,obs
2023-09-03,20:00:00,2023-09-03 20:00:00,1693782000,14.1,14.1,54.62,5.1,0.0,0.0,0.0,0.0,,11.9,0.3,91.0,1014.3,14.9,9.7,3.4,0.0,0.0,Clear,clear-night,obs
2023-09-03,21:00:00,2023-09-03 21:00:00,1693785600,11.9,11.9,59.79,4.3,0.0,0.0,0.0,0.0,,9.0,0.2,179.0,1016.1,14.9,0.0,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-03,22:00:00,2023-09-03 22:00:00,1693789200,10.2,10.2,64.51,3.8,0.0,0.0,0.0,0.0,,11.9,5.4,229.0,1016.8,14.9,0.0,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-03,23:00:00,2023-09-03 23:00:00,1693792800,9.7,8.5,65.82,3.7,0.0,0.0,0.0,0.0,,11.9,9.3,229.0,1017.2,14.9,0.0,0.0,0.0,0.0,Clear,clear-night,obs
2023-09-04,00:00:00,2023-09-04 00:00:00,1693796400,12.0,12.0,54.74,3.2,0.0,0.0,0.0,0.0,,11.5,12.0,180.0,1017.8,12.8,41.6,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-04,01:00:00,2023-09-04 01:00:00,1693800000,11.1,11.1,56.96,2.9,0.0,0.0,0.0,0.0,,12.2,18.2,179.0,1018.7,12.8,43.7,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-04,02:00:00,2023-09-04 02:00:00,1693803600,10.9,10.9,54.73,2.1,0.0,0.0,0.0,0.0,,13.7,16.3,180.0,1018.7,12.8,35.5,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-04,03:00:00,2023-09-04 03:00:00,1693807200,10.2,10.2,75.95,6.1,0.0,0.0,0.0,0.0,,14.0,5.7,141.0,1018.5,14.9,89.8,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-04,04:00:00,2023-09-04 04:00:00,1693810800,10.2,10.2,69.27,4.8,0.0,0.0,0.0,0.0,,15.1,9.3,141.0,1017.8,12.8,89.3,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-04,05:00:00,2023-09-04 05:00:00,1693814400,9.8,9.4,68.6,4.3,0.0,0.0,0.0,0.0,,14.0,5.4,142.0,1017.5,12.8,89.3,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
2023-09-04,06:00:00,2023-09-04 06:00:00,1693818000,10.0,9.7,69.83,4.7,0.0,0.0,0.0,0.0,,15.1,5.4,127.0,1017.9,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-04,07:00:00,2023-09-04 07:00:00,1693821600,9.7,9.7,82.22,6.8,0.0,0.0,0.0,0.0,,19.4,0.3,91.0,1019.4,8.1,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-04,08:00:00,2023-09-04 08:00:00,1693825200,8.9,7.8,86.59,6.8,0.0,0.0,0.0,0.0,,22.3,7.7,324.0,1019.9,8.1,100.0,0.1,0.0,0.0,Overcast,cloudy,obs
2023-09-04,09:00:00,2023-09-04 09:00:00,1693828800,8.7,8.2,86.76,6.6,0.295,100.0,0.0,0.0,['rain'],22.3,5.4,276.0,1020.9,10.1,100.0,18.1,0.1,0.0,"Rain, Overcast",rain,obs
2023-09-04,10:00:00,2023-09-04 10:00:00,1693832400,8.4,7.2,86.44,6.3,0.0,0.0,0.0,0.0,,22.3,7.7,141.0,1021.2,10.0,100.0,44.3,0.2,0.0,Overcast,cloudy,obs
2023-09-04,11:00:00,2023-09-04 11:00:00,1693836000,8.3,8.3,86.05,6.1,0.0,0.0,0.0,0.0,,23.4,0.4,151.0,1021.5,6.1,100.0,71.8,0.3,1.0,Overcast,cloudy,obs
2023-09-04,12:00:00,2023-09-04 12:00:00,1693839600,8.8,7.0,82.85,6.0,0.0,0.0,0.0,0.0,,25.2,11.1,160.0,1021.3,6.1,99.3,178.3,0.6,2.0,Overcast,cloudy,obs
2023-09-04,13:00:00,2023-09-04 13:00:00,1693843200,8.8,8.3,88.5,7.1,0.0,0.0,0.0,0.0,,23.4,5.7,141.0,1021.4,5.9,100.0,153.1,0.6,2.0,Overcast,cloudy,obs
2023-09-04,14:00:00,2023-09-04 14:00:00,1693846800,9.8,8.8,82.85,7.1,0.0,0.0,0.0,0.0,,20.9,7.9,150.0,1020.6,9.9,90.3,186.5,0.7,2.0,Overcast,cloudy,obs
2023-09-04,15:00:00,2023-09-04 15:00:00,1693850400,10.2,10.2,78.48,6.6,1.0,100.0,0.0,0.0,['rain'],21.2,7.8,91.0,1019.9,14.9,90.0,205.3,0.7,2.0,"Rain, Partially cloudy",rain,obs
2023-09-04,16:00:00,2023-09-04 16:00:00,1693854000,10.4,10.4,72.59,5.7,0.0,0.0,0.0,0.0,,24.5,9.5,92.0,1019.1,14.9,99.7,234.5,0.8,2.0,Overcast,cloudy,obs
2023-09-04,17:00:00,2023-09-04 17:00:00,1693857600,10.2,10.2,73.51,5.7,0.0,0.0,0.0,0.0,,21.2,0.4,141.0,1019.1,14.9,99.9,120.1,0.4,1.0,Overcast,cloudy,obs
2023-09-04,18:00:00,2023-09-04 18:00:00,1693861200,10.9,10.9,67.26,5.1,0.0,0.0,0.0,0.0,,18.4,13.0,160.0,1019.4,12.8,89.1,72.2,0.3,1.0,Partially cloudy,partly-cloudy-day,obs
2023-09-04,19:00:00,2023-09-04 19:00:00,1693864800,9.9,9.0,74.84,5.6,0.0,0.0,0.0,0.0,,16.2,7.7,151.0,1020.3,14.9,99.2,42.4,0.2,0.0,Overcast,cloudy,obs
2023-09-04,20:00:00,2023-09-04 20:00:00,1693868400,9.4,8.4,74.78,5.1,0.0,0.0,0.0,0.0,,15.1,7.7,210.0,1020.6,14.9,99.2,1.8,0.0,0.0,Overcast,cloudy,obs
2023-09-04,21:00:00,2023-09-04 21:00:00,1693872000,9.4,8.3,73.36,4.8,0.0,0.0,0.0,0.0,,20.9,7.7,180.0,1021.7,15.0,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-04,22:00:00,2023-09-04 22:00:00,1693875600,9.4,8.3,73.27,4.8,0.0,0.0,0.0,0.0,,23.4,7.8,141.0,1022.1,14.9,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-04,23:00:00,2023-09-04 23:00:00,1693879200,9.1,7.6,74.71,4.8,0.0,0.0,0.0,0.0,,24.1,9.5,141.0,1022.4,14.9,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,00:00:00,2023-09-05 00:00:00,1693882800,9.2,7.2,74.61,4.9,0.0,0.0,0.0,0.0,,23.8,13.0,180.0,1022.7,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,01:00:00,2023-09-05 01:00:00,1693886400,8.9,7.4,74.97,4.7,0.0,0.0,0.0,0.0,,22.3,9.5,141.0,1022.7,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,02:00:00,2023-09-05 02:00:00,1693890000,8.8,7.0,67.62,3.1,0.0,0.0,0.0,0.0,,19.4,11.2,179.0,1022.3,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,03:00:00,2023-09-05 03:00:00,1693893600,7.4,7.4,78.32,3.8,0.0,0.0,0.0,0.0,,16.6,0.3,179.0,1021.5,14.9,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,04:00:00,2023-09-05 04:00:00,1693897200,8.1,6.4,70.22,3.0,0.0,0.0,0.0,0.0,,19.4,9.5,158.0,1021.5,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,05:00:00,2023-09-05 05:00:00,1693900800,7.9,6.6,71.9,3.1,0.0,0.0,0.0,0.0,,18.7,7.6,111.0,1021.3,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,06:00:00,2023-09-05 06:00:00,1693904400,7.2,5.8,78.76,3.7,0.0,0.0,0.0,0.0,,18.0,7.6,111.0,1021.6,12.8,100.0,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,07:00:00,2023-09-05 07:00:00,1693908000,7.1,7.1,75.83,3.1,0.0,0.0,0.0,0.0,,16.9,0.3,91.0,1022.3,14.9,99.9,0.0,0.0,0.0,Overcast,cloudy,obs
2023-09-05,08:00:00,2023-09-05 08:00:00,1693911600,6.8,6.8,77.38,3.2,0.0,0.0,0.0,0.0,,16.9,0.2,91.0,1022.7,14.9,99.9,0.5,0.0,0.0,Overcast,cloudy,obs
2023-09-05,09:00:00,2023-09-05 09:00:00,1693915200,6.9,5.4,79.9,3.6,0.0,0.0,0.0,0.0,,17.3,7.6,321.0,1022.6,14.9,99.4,45.8,0.2,0.0,Overcast,cloudy,obs
2023-09-05,10:00:00,2023-09-05 10:00:00,1693918800,6.9,6.9,79.87,3.6,0.0,0.0,0.0,0.0,,16.6,0.1,50.0,1022.7,14.9,99.2,114.8,0.4,1.0,Overcast,cloudy,obs
2023-09-05,11:00:00,2023-09-05 11:00:00,1693922400,8.0,7.3,65.84,2.0,0.1,100.0,0.0,0.0,['rain'],14.8,5.4,50.0,1024.0,10.0,50.0,183.8,0.7,2.0,"Rain, Partially cloudy",rain,obs
2023-09-05,12:00:00,2023-09-05 12:00:00,1693926000,8.2,8.2,64.97,2.0,0.0,0.0,0.0,0.0,,13.0,0.0,0.0,1021.6,12.8,89.3,212.4,0.8,2.0,Partially cloudy,partly-cloudy-day,obs
2023-09-05,13:00:00,2023-09-05 13:00:00,1693929600,8.6,8.6,71.05,3.6,0.0,0.0,0.0,0.0,,13.3,0.1,54.3,1020.6,14.9,99.9,231.4,0.8,2.0,Overcast,cloudy,obs
2023-09-05,14:00:00,2023-09-05 14:00:00,1693933200,9.6,9.6,67.43,3.8,0.0,0.0,0.0,0.0,,14.0,3.7,198.0,1019.5,14.9,99.9,257.1,0.9,3.0,Overcast,cloudy,obs
2023-09-05,15:00:00,2023-09-05 15:00:00,1693936800,10.4,10.4,62.97,3.6,0.0,0.0,0.0,0.0,,16.6,0.2,141.0,1018.1,14.9,90.1,365.4,1.3,4.0,Overcast,cloudy,obs
2023-09-05,16:00:00,2023-09-05 16:00:00,1693940400,11.1,11.1,62.74,4.3,0.0,0.0,0.0,0.0,,22.0,0.1,90.0,1017.4,14.9,90.1,541.8,2.0,5.0,Overcast,cloudy,obs
2023-09-05,17:00:00,2023-09-05 17:00:00,1693944000,11.2,11.2,62.66,4.3,0.0,0.0,0.0,0.0,,22.0,3.6,22.0,1017.3,14.9,90.1,421.9,1.5,4.0,Overcast,cloudy,obs
2023-09-05,18:00:00,2023-09-05 18:00:00,1693947600,11.9,11.9,54.49,3.0,0.0,0.0,0.0,0.0,,19.8,3.6,50.0,1017.4,8.0,89.1,273.2,1.0,3.0,Partially cloudy,partly-cloudy-day,obs
2023-09-05,19:00:00,2023-09-05 19:00:00,1693951200,10.6,10.6,69.75,5.3,0.0,0.0,0.0,0.0,,15.5,5.4,299.0,1017.5,14.8,99.7,104.8,0.4,1.0,Overcast,cloudy,obs
2023-09-05,20:00:00,2023-09-05 20:00:00,1693954800,10.2,10.2,71.75,5.3,0.0,0.0,0.0,0.0,,7.2,0.1,270.0,1017.6,14.8,90.0,3.3,0.0,0.0,Partially cloudy,partly-cloudy-night,obs
